"CUSTOMER_KEY"	"CUSTOMER_ID"	"OPERATING_REVENUE_TRAILING_365"	"CUSTOMER_ORDER_FIRST_PLACED_DTTM"	"CUSTOMER_ADDRESS_ZIP"	"CUSTOMER_ADDRESS_CITY"	"CUSTOMER_ADDRESS_STATE"	"name"	"email"	"password_hash"	"password"	"persona_summary"	"preferred_brands"	"special_diet"	"possible_next_buys"	"price_range_food"	"price_range_treats"	"price_range_waste_management"	"price_range_beds"	"price_range_feeders"	"price_range_leashes_and_collars"
"69204343906"	"904367094"	"31653.68702"	"2023-05-02 00:00:00.000"	"78757-1468"	"AUSTIN"	"TX"	"Teresa Munoz"	"teresa.munoz@gmail.com"	"$2b$12$SArK7BZqc2HL3vVgQODT/.osz1xJIzqx8QimheLWwtSkeZQB6lRUq"	"AgGQ_4DeLXvx"	"This user demonstrates a balanced pet shopping behavior with a moderate loyalty to brands, primarily purchasing bowls, feeders, and beds. They have a preference for higher quality products, with an average purchase price of $69.02 and a tendency to shop within the mid-price range. Recent purchases indicate a focus on reliable and functional pet supplies, specifically from Neater Pets and Purina ONE, suggesting an inclination towards well-reviewed brands."	"[""Neater Pets"", ""Purina ONE"", ""Frisco""]"	"[""With Grain""]"	"Recently bought dog bowls and a bed, so might buy dog toys or grooming supplies."	"{""min"": 33.48, ""max"": 33.48}"	"{}"	"{}"	"{""min"": 153.0, ""max"": 153.0}"	"{""min"": 38.99, ""max"": 65.99}"	"{}"
"4087770"	"4056463"	"30635.69873"	"2015-05-27 00:00:00.000"	"90025-5734"	"Los Angeles"	"CA"	"Chris Bautista"	"chris.bautista@gmail.com"	"$2b$12$j5bPYiL6eHZyuz1iyaemXuZ.peKOEFWsCL6WsYey1gUfj/Ttp4GqO"	"c3baGd6g_582"	"This user exhibits initial exploration behavior in pet shopping, shown by a single click on a product from the Food category. They have not made any purchases, indicating either a lack of brand loyalty or a possible indecision in their shopping journey. The user engaged with a product priced at $89.95, which suggests they are looking at premium offerings. However, with a 0% conversion rate, there are opportunities to improve their experience to encourage purchases."	"[""Farmina""]"	"[]"	""	"{""min"": 89.95, ""max"": 89.95}"	"{}"	"{}"	"{}"	"{}"	"{}"
"20325751420"	"63791656"	"23941.17967"	"2019-06-09 04:00:00.000"	"88220"	"CARLSBAD"	"NM"	"Justin Jackson"	"justin.jackson@gmail.com"	"$2b$12$KYG2OTOq3BcKvR1QpXX3d.u2sUPd/tO2bldzaU7lbf7.LcEO9/eI6"	"2mU94Ja2)vG_"	"The user demonstrates a moderate level of engagement with pet shopping, showcasing a balanced purchase behavior across various categories, particularly in Bowls & Feeders and Beds, Crates & Gear. They exhibit a preference for specific brands such as Frisco and Necoichi, although brand loyalty is relatively low, with most purchases being one-time. The user tends to favor mid to high-priced products, spending an average of $32.17 overall with a notable interest in quality items, as indicated by their recent purchases of elevated feeders and a stylish cat tree."	"[""Frisco"", ""Necoichi"", ""Catit"", ""Only Natural Pet""]"	"[""Human-Grade"", ""Pea-Free""]"	"Recently bought Only Natural Pet Free-Range Chicken Bone Broth and Necoichi Ceramic Elevated Cat Food & Water Bowl Set, so might buy another elevated feeding option."	"{""min"": 8.82, ""max"": 8.82}"	"{}"	"{}"	"{}"	"{}"	"{}"
"55400089539"	"882005009"	"23459.21284"	"2022-03-12 00:00:00.000"	"54001"	"Amery"	"WI"	"Jeffrey Garcia"	"jeffrey.garcia@gmail.com"	"$2b$12$r4v7/J9acMYjdiHZRVJiPucovDo9n/FQ8w85Wh9SAx.0/8HRCGLCq"	"+N6wiAo67t*K"	"This user demonstrates a mix of practicality and brand loyalty in their pet shopping behavior. They have made 17 purchases out of 95 events, with a higher tendency to buy litter and accessories, as indicated by a purchase ratio of 0.38 in that category. The user tends to shop for food and health products as well, showing a significant spend on items like Pedigree and Fancy Feast. Their average spending is around $22.93, with a clear preference for low to mid-priced items, primarily within the 'Food' and 'Litter & Accessories' categories."	"[""Frisco"", ""Fancy Feast"", ""Pedigree""]"	"[""With Grain""]"	"Recently bought Pedigree dog food and Fancy Feast canned food, so might buy more dog food or treats."	"{""min"": 13.98, ""max"": 20.97}"	"{}"	"{""min"": 24.99, ""max"": 38.06}"	"{}"	"{}"	"{}"
"480500322"	"16520913"	"22782.00211"	"2017-04-24 00:00:00.000"	"40445-8812"	"LIVINGSTON"	"KY"	"Dr. Kayla Benson"	"dr.benson@gmail.com"	"$2b$12$eUJJeo0rAOliA5vEqizUa.tlHtjQd0i6fIctVBSHbUW1zAmFXyrnK"	"^20elOaOPPeP"	"The user exhibits a strong preference for Royal Canin, having made the majority of their purchases in the food category, particularly wet cat food and dog food tailored for sensitive stomachs. Their spending habits suggest a mid to high range buyer, with an average purchase price of around $60, reflecting brand loyalty mainly towards Hill's Science Diet despite a higher total spend on Royal Canin. The user is likely to continue purchasing premium pet food products to maintain their pets' health and wellness."	"[""Royal Canin"", ""Hill's Science Diet"", ""Purina Pro Plan""]"	"[""With Grain"", ""High Fiber"", ""Weight Control"", ""No Corn No Wheat No Soy"", ""High-Protein""]"	"Recently bought Royal Canin and Purina Pro Plan food products, so might buy new treats or accessories."	"{""min"": 49.08, ""max"": 77.48}"	"{""min"": 42.64, ""max"": 42.64}"	"{}"	"{}"	"{}"	"{""min"": 20.12, ""max"": 20.12}"
"52934333833"	"204886726"	"22481.74525"	"2023-05-04 00:00:00.000"	"23462-1192"	"VIRGINIA BEACH"	"VA"	"Jeffrey Horton"	"jeffrey.horton@gmail.com"	"$2b$12$NTymIG0BWLTxQ18GgiOpYuA0kS1UTgGsk5SDXi.DetCs1z5t77S4u"	"e%60fF*(n8Fn"	"This user is highly dedicated to purchasing premium pet food and treats, demonstrating strong brand loyalty to 'Taste of the Wild' for food and 'Bones & Chews' for treats. With a perfect conversion rate of 100%, they exhibit a consistent buying behavior, spending a total of approximately $359 on pet food and $6 on treats. The user's preference leans towards grain-free options, and they frequently select higher-end products, with an average spend of $35.99 per transaction."	"[""Taste of the Wild"", ""Bones & Chews""]"	"[""Grain-Free""]"	"Recently bought multiple bags of grain-free food, so might buy additional treats or another variety of 'Taste of the Wild' food."	"{""min"": 58.99, ""max"": 58.99}"	"{}"	"{}"	"{}"	"{}"	"{}"
"45893630532"	"156460494"	"21926.11852"	"2021-07-26 04:00:00.000"	"07047-4517"	"North Bergen"	"NJ"	"Daniel Cortez"	"daniel.cortez@gmail.com"	"$2b$12$qX9VK5HPeWCRW/q1YG9PDeakznTHTGATEgP4EKCBl6NyLrK7JSoR2"	"A1Mm_fcj_3nx"	"This user exhibits a strong preference for dog treats, particularly from the SmartBones brand, indicating a focus on high-quality, rawhide-free options. They have a moderate spending habit, with an average spend around $15, but a higher average for food purchases at about $48.96. The user prefers grain-free options and is actively engaged in purchasing, showing a notable conversion rate of 36%. They are likely to continue buying from brands they are loyal to, such as SmartBones and Wellness."	"[""SmartBones"", ""Wellness""]"	"[""Grain-Free"", ""Rawhide-Free""]"	"Recently bought treats and grain-free dog food, so might buy more grain-free treats."	"{""min"": 48.96, ""max"": 48.96}"	"{}"	"{}"	"{}"	"{}"	"{}"
"1186503215"	"21401118"	"21541.67958"	"2017-08-29 00:00:00.000"	"11743-5510"	"HUNTINGTON"	"NY"	"Jeffrey Figueroa"	"jeffrey.figueroa@gmail.com"	"$2b$12$f6NnKFXhMIiDmpY376mNouOGru0ycUAIuaIM2ILT17VW3vST9hH26"	"IRQDMZdW8&6T"	"The user exhibits a strong preference for purchasing dog food and treats. They have demonstrated brand loyalty primarily towards Purina Beneful, Milk-Bone, and Canine Carry Outs, with a tendency to buy food products that maintain a higher protein content and include grains. Spending habits indicate a focus on mid to low-priced items, as reflected in their average expenditure of approximately $13.93 per product. The user has made frequent purchases, particularly in the 'Food' and 'Treats' categories, suggesting they prioritize these products for their pet's nutrition and enjoyment."	"[""Purina Beneful"", ""Milk-Bone"", ""Canine Carry Outs""]"	"[""High-Protein"", ""With Grain"", ""Pea-Free"", ""Rawhide-Free""]"	"Recently bought Canine Carry Outs and Milk-Bone treats, so might buy more treats or related accessories."	"{""min"": 16.48, ""max"": 16.48}"	"{""min"": 8.99, ""max"": 14.48}"	"{}"	"{}"	"{}"	"{}"
"6924774"	"1524452"	"20078.84754"	"2014-09-04 00:00:00.000"	"43311-2929"	"BELLEFONTAINE"	"OH"	"Sarah Cunningham"	"sarah.cunningham@gmail.com"	"$2b$12$DxVr0yKm8acfdp9b0Cw4PO6X0bIsEHbawjkPVJ1cM04oxqKwcbsp2"	"4(bjw#7qzY1R"	"The user exhibits a diverse pet shopping behavior, with a notable focus on food and litter products. They have a moderate level of brand loyalty, primarily towards Friskies, with significant spending observed on both food and pet gear. The average price of purchases indicates a preference for budget-friendly options, particularly in the food category. Recent purchases suggest they prefer affordable yet effective products for their cat's diet and waste management."	"[""Friskies"", ""Blue Buffalo"", ""Frisco""]"	"[""Indoor"", ""No Corn No Wheat No Soy"", ""Natural""]"	"Recently bought Friskies and Blue Buffalo food, so might buy more Friskies or try another variant from Blue Buffalo."	"{""min"": 14.38, ""max"": 16.01}"	"{}"	"{""min"": 8.99, ""max"": 8.99}"	"{}"	"{}"	"{}"
"45419899614"	"153888379"	"19743.86542"	"2021-07-07 00:00:00.000"	"29653-9673"	"HODGES"	"SC"	"Rebecca Stewart"	"rebecca.stewart@gmail.com"	"$2b$12$byhjqVTYpx6CyBFNO0MDteGIMoQtMGYXifGcqI399TLe66LD8O5gW"	"!J1NSDcR8TUr"	"The user exhibits a strong loyalty towards specific brands, primarily Blue Buffalo, Purina ONE, and Fancy Feast, with a consistent purchasing behavior reflected in a high conversion rate of 1.0. They predominantly purchase pet food, with a preference for grain-free options, spending an average of $34.73 per item. Recently, the user has shown interest in high-protein canned food options for both dogs and cats, demonstrating a focus on quality and nutritional value."	"[""Blue Buffalo"", ""Purina ONE"", ""Fancy Feast""]"	"[""Grain-Free"", ""Weight Control""]"	"Recently bought grain-free canned dog food and weight-control cat food, so might buy more high-protein snacks for dogs or cats."	"{""min"": 20.97, ""max"": 39.74}"	"{}"	"{}"	"{}"	"{}"	"{}"
"47223624126"	"163877004"	"19180.32531"	"2021-10-13 00:00:00.000"	"95204-3038"	"STOCKTON"	"CA"	"Melissa Taylor"	"melissa.taylor@gmail.com"	"$2b$12$JW.KlCm6UqS64wevwiQ46.mxW2adQ4xzt5C09.AbBo0XvqWCJHHse"	"8_KYY0uy_RPP"	"This user demonstrates a balanced pet shopping behavior with a moderate loyalty to brands, primarily purchasing bowls, feeders, and beds. They have a preference for higher quality products, with an average purchase price of $69.02 and a tendency to shop within the mid-price range. Recent purchases indicate a focus on reliable and functional pet supplies, specifically from Neater Pets and Purina ONE, suggesting an inclination towards well-reviewed brands."	"[""Neater Pets"", ""Purina ONE"", ""Frisco""]"	"[""With Grain""]"	"Recently bought dog bowls and a bed, so might buy dog toys or grooming supplies."	"{""min"": 33.48, ""max"": 33.48}"	"{}"	"{}"	"{""min"": 153.0, ""max"": 153.0}"	"{""min"": 38.99, ""max"": 65.99}"	"{}"
"30708255323"	"90658254"	"17888.21114"	"2020-03-25 00:00:00.000"	"94952-1114"	"PETALUMA"	"CA"	"Catherine Villarreal"	"catherine.villarreal@gmail.com"	"$2b$12$I7uarhJnCFvYT.vS2p.qve7macQjRP4uXUagUiW621aGkXyio6jzW"	"H9PHcMai_Lql"	"This user exhibits initial exploration behavior in pet shopping, shown by a single click on a product from the Food category. They have not made any purchases, indicating either a lack of brand loyalty or a possible indecision in their shopping journey. The user engaged with a product priced at $89.95, which suggests they are looking at premium offerings. However, with a 0% conversion rate, there are opportunities to improve their experience to encourage purchases."	"[""Farmina""]"	"[]"	""	"{""min"": 89.95, ""max"": 89.95}"	"{}"	"{}"	"{}"	"{}"	"{}"
"154907"	"8287983"	"17746.18589"	"2016-06-06 04:00:00.000"	"92058"	"Oceanside"	"CA"	"Trevor Lewis"	"trevor.lewis@gmail.com"	"$2b$12$63HYGhT49wFABCBRyEOjKesHfF6biw/K9M2AXD0NLLuWrCDs4GYQa"	"!&dQTCT5BrO8"	"The user demonstrates a moderate level of engagement with pet shopping, showcasing a balanced purchase behavior across various categories, particularly in Bowls & Feeders and Beds, Crates & Gear. They exhibit a preference for specific brands such as Frisco and Necoichi, although brand loyalty is relatively low, with most purchases being one-time. The user tends to favor mid to high-priced products, spending an average of $32.17 overall with a notable interest in quality items, as indicated by their recent purchases of elevated feeders and a stylish cat tree."	"[""Frisco"", ""Necoichi"", ""Catit"", ""Only Natural Pet""]"	"[""Human-Grade"", ""Pea-Free""]"	"Recently bought Only Natural Pet Free-Range Chicken Bone Broth and Necoichi Ceramic Elevated Cat Food & Water Bowl Set, so might buy another elevated feeding option."	"{""min"": 8.82, ""max"": 8.82}"	"{}"	"{}"	"{}"	"{}"	"{}"
"4238846"	"4654616"	"17710.39321"	"2015-08-09 00:00:00.000"	"33330-3021"	"Southwest Ranches"	"FL"	"Nicole Serrano"	"nicole.serrano@gmail.com"	"$2b$12$O64wNAuh4hZ9wQgncIhXWe5puKujXJW36x8oK4mtaON8ZYUukXowG"	"u5N52U%v#Esx"	"This user demonstrates a mix of practicality and brand loyalty in their pet shopping behavior. They have made 17 purchases out of 95 events, with a higher tendency to buy litter and accessories, as indicated by a purchase ratio of 0.38 in that category. The user tends to shop for food and health products as well, showing a significant spend on items like Pedigree and Fancy Feast. Their average spending is around $22.93, with a clear preference for low to mid-priced items, primarily within the 'Food' and 'Litter & Accessories' categories."	"[""Frisco"", ""Fancy Feast"", ""Pedigree""]"	"[""With Grain""]"	"Recently bought Pedigree dog food and Fancy Feast canned food, so might buy more dog food or treats."	"{""min"": 13.98, ""max"": 20.97}"	"{}"	"{""min"": 24.99, ""max"": 38.06}"	"{}"	"{}"	"{}"
"8093495"	"4881533"	"17359.40576"	"2015-09-04 00:00:00.000"	"07470-3904"	"WAYNE"	"NJ"	"Jessica Herman"	"jessica.herman@gmail.com"	"$2b$12$CdLaQ7XM/TFEKOeje8mQWeDDH/9gd9meSQxZWt4o8k4HWOEpuaA66"	"t3$CaF9n8H*8"	"The user exhibits a strong preference for Royal Canin, having made the majority of their purchases in the food category, particularly wet cat food and dog food tailored for sensitive stomachs. Their spending habits suggest a mid to high range buyer, with an average purchase price of around $60, reflecting brand loyalty mainly towards Hill's Science Diet despite a higher total spend on Royal Canin. The user is likely to continue purchasing premium pet food products to maintain their pets' health and wellness."	"[""Royal Canin"", ""Hill's Science Diet"", ""Purina Pro Plan""]"	"[""With Grain"", ""High Fiber"", ""Weight Control"", ""No Corn No Wheat No Soy"", ""High-Protein""]"	"Recently bought Royal Canin and Purina Pro Plan food products, so might buy new treats or accessories."	"{""min"": 49.08, ""max"": 77.48}"	"{""min"": 42.64, ""max"": 42.64}"	"{}"	"{}"	"{}"	"{""min"": 20.12, ""max"": 20.12}"
"2027718"	"9755482"	"17290.71291"	"2016-08-23 00:00:00.000"	"34747-4679"	"Celebration"	"FL"	"Thomas Crawford"	"thomas.crawford@gmail.com"	"$2b$12$tp2mmBWNh14GHCTrPF.8UOeQp8G53ilkRz3LNlYRL5Oi49p43Jkdu"	"zD4_qQUkDVUo"	"This user is highly dedicated to purchasing premium pet food and treats, demonstrating strong brand loyalty to 'Taste of the Wild' for food and 'Bones & Chews' for treats. With a perfect conversion rate of 100%, they exhibit a consistent buying behavior, spending a total of approximately $359 on pet food and $6 on treats. The user's preference leans towards grain-free options, and they frequently select higher-end products, with an average spend of $35.99 per transaction."	"[""Taste of the Wild"", ""Bones & Chews""]"	"[""Grain-Free""]"	"Recently bought multiple bags of grain-free food, so might buy additional treats or another variety of 'Taste of the Wild' food."	"{""min"": 58.99, ""max"": 58.99}"	"{}"	"{}"	"{}"	"{}"	"{}"
"7983107"	"3958694"	"17261.75303"	"2015-05-14 04:00:00.000"	"91387-2123"	"CANYON COUNTRY"	"CA"	"Jonathan Gross"	"jonathan.gross@gmail.com"	"$2b$12$tQWveZsBankFkAX7cetI5.zqYb4M5pLrtqtXFhLR5B4l44gd3d.f."	"rQ^(Y3kejv4C"	"This user exhibits a strong preference for dog treats, particularly from the SmartBones brand, indicating a focus on high-quality, rawhide-free options. They have a moderate spending habit, with an average spend around $15, but a higher average for food purchases at about $48.96. The user prefers grain-free options and is actively engaged in purchasing, showing a notable conversion rate of 36%. They are likely to continue buying from brands they are loyal to, such as SmartBones and Wellness."	"[""SmartBones"", ""Wellness""]"	"[""Grain-Free"", ""Rawhide-Free""]"	"Recently bought treats and grain-free dog food, so might buy more grain-free treats."	"{""min"": 48.96, ""max"": 48.96}"	"{}"	"{}"	"{}"	"{}"	"{}"
"4099902"	"3577870"	"17192.38617"	"2015-03-23 00:00:00.000"	"11545-2007"	"GLEN HEAD"	"NY"	"Hannah Baxter"	"hannah.baxter@gmail.com"	"$2b$12$MokR6AKsQyYGQaPu4LhP7OgaXJSuwJ1Z.lQZVUIssq7QCJOIdCkCi"	"YaW^JUTmJ@d4"	"The user exhibits a strong preference for purchasing dog food and treats. They have demonstrated brand loyalty primarily towards Purina Beneful, Milk-Bone, and Canine Carry Outs, with a tendency to buy food products that maintain a higher protein content and include grains. Spending habits indicate a focus on mid to low-priced items, as reflected in their average expenditure of approximately $13.93 per product. The user has made frequent purchases, particularly in the 'Food' and 'Treats' categories, suggesting they prioritize these products for their pet's nutrition and enjoyment."	"[""Purina Beneful"", ""Milk-Bone"", ""Canine Carry Outs""]"	"[""High-Protein"", ""With Grain"", ""Pea-Free"", ""Rawhide-Free""]"	"Recently bought Canine Carry Outs and Milk-Bone treats, so might buy more treats or related accessories."	"{""min"": 16.48, ""max"": 16.48}"	"{""min"": 8.99, ""max"": 14.48}"	"{}"	"{}"	"{}"	"{}"
